S.no.,Name of State,Name of District,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Total Natural Discharges,Annual Extractable Ground Water Resource,Current Annual Ground Water Extraction For Irrigation,Current Annual Ground Water Extraction For Domestic & Industrial Use,Total Current Annual Ground Water Extraction,Annual GW Allocation for Domestic Use as on 2025,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
467,RAJASTHAN,Ajmer,31499.64,1909.99,0.0,6165.97,39575.6,3642.12,35933.48,48623.83,4978.53,53602.36,6721.01,0.0,149.17
468,RAJASTHAN,Alwar,67625.6,2334.06,7670.86,6876.18,84506.7,7250.58,77256.12,133272.65,15523.23,148795.88,20801.13,0.0,192.6
469,RAJASTHAN,Banswara,11442.43,671.59,0.0,8804.14,20918.16,1963.99,18954.16,8478.74,2047.09,10525.83,2776.19,7699.23,55.53
470,RAJASTHAN,Baran,36016.4,3343.56,0.0,14570.65,53930.61,5096.2,48834.41,52215.36,5754.77,57970.13,10087.08,5458.8,118.71
471,RAJASTHAN,Barmer,26062.15,848.48,1095.32,2337.67,30343.62,2752.42,27591.2,29153.67,5130.98,34284.65,6926.82,1111.73,124.26
472,RAJASTHAN,Bharatpur,35548.66,2103.91,1707.37,6165.18,45525.13,3891.52,41633.61,42957.44,6946.86,49904.3,9164.32,0.0,119.87
473,RAJASTHAN,Bhilwara,46128.14,3370.82,0.0,10712.12,60211.07,5848.11,54362.96,71234.43,4140.45,75374.88,5589.6,0.0,138.65
474,RAJASTHAN,Bikaner,25309.35,238.29,0.0,1056.16,26603.8,2505.27,24098.53,33254.17,7780.14,41034.31,10097.11,3056.66,170.28
475,RAJASTHAN,Bundi,25607.9,3117.63,0.0,23490.04,52215.57,4842.2,47373.38,37377.47,2621.85,39999.33,3539.5,11977.46,84.43
476,RAJASTHAN,Chittaurgarh,44079.09,2881.4,0.0,10838.87,57799.35,5321.41,52477.94,71489.31,1557.33,73046.64,2102.4,0.0,139.19
477,RAJASTHAN,Churu,12074.34,35.25,402.37,105.74,12617.69,1048.81,11568.89,10251.14,2507.38,12758.51,3359.88,1700.28,110.28
478,RAJASTHAN,Dausa,22053.97,1096.58,339.45,2170.75,25660.74,2538.02,23122.73,38362.34,2442.62,40804.96,3586.91,0.0,176.47
479,RAJASTHAN,Dhaulpur,19953.14,1250.76,507.45,5118.52,26829.87,2470.97,24358.9,27560.32,2977.89,30538.21,4020.15,915.27,125.37
480,RAJASTHAN,Dungarpur,8885.85,850.45,0.0,5171.62,14907.91,1441.49,13466.43,8043.55,803.94,8847.49,1085.32,4337.56,65.7
481,RAJASTHAN,Ganganagar,2210.84,19189.9,675.73,23394.56,45471.02,4547.1,40923.91,15048.98,701.4,15750.38,946.89,24928.04,38.49
482,RAJASTHAN,Hanumangarh,2558.6,7812.14,644.97,10004.22,21019.92,1972.46,19047.46,11596.72,804.3,12401.02,1092.42,6364.93,65.11
483,RAJASTHAN,Jaipur,67725.26,2528.05,2717.35,6459.0,79429.66,7460.03,71969.62,127627.58,30581.96,158209.54,41285.64,0.0,219.83
484,RAJASTHAN,Jaisalmer,6675.67,20.93,0.0,67.65,6764.24,676.42,6087.82,15320.95,2507.25,17828.21,3384.79,0.0,292.85
485,RAJASTHAN,Jalor,41635.13,1163.35,0.0,10449.12,53247.59,5215.0,48032.59,80857.75,4419.6,85277.35,5966.46,1226.27,177.54
486,RAJASTHAN,Jhalawar,42154.25,2887.02,0.0,10237.03,55278.3,4142.54,51135.76,48876.38,2379.16,51255.53,3211.86,3106.9,100.23
487,RAJASTHAN,Jhunjhunun,19229.72,399.9,1797.73,1605.89,23033.23,2248.0,20785.24,36766.57,8484.85,45251.41,11454.55,0.0,217.71
488,RAJASTHAN,Jodhpur,41757.4,455.46,343.58,1398.79,43955.22,4245.17,39710.05,71755.44,15050.92,86806.36,20318.74,2908.99,218.6
489,RAJASTHAN,Karauli,35541.37,1124.88,0.0,3034.51,39700.76,3852.35,35848.41,51625.62,5115.96,56741.58,6855.39,202.68,158.28
490,RAJASTHAN,Kota,28567.82,5750.88,704.84,22295.64,57319.18,5582.1,51737.08,46949.05,6564.63,53513.68,8862.25,3723.78,103.43
491,RAJASTHAN,Nagaur,51135.16,304.2,4927.39,987.86,57354.61,5212.12,52142.49,86573.31,14578.75,101152.06,19681.32,631.27,193.99
492,RAJASTHAN,Pali,42904.89,1150.86,0.0,5741.24,49796.99,4240.12,45556.86,54088.68,3093.54,57182.22,4176.28,1022.26,125.52
493,RAJASTHAN,Pratapgarh,14691.6,1405.81,0.0,4566.11,20663.52,1490.84,19172.68,22976.94,519.51,23496.45,701.34,886.18,122.55
494,RAJASTHAN,Rajsamand,8162.25,681.32,126.2,2268.41,11238.18,1123.82,10114.36,10550.75,1727.95,12278.7,2332.73,0.0,121.4
495,RAJASTHAN,Sawai Madhopur,40235.26,1850.13,0.0,6918.79,49004.17,4021.59,44982.58,49878.33,10646.89,60525.22,14266.83,0.0,134.55
496,RAJASTHAN,Sikar,27738.92,859.39,802.04,1591.48,30991.84,3099.18,27892.65,41094.91,8435.53,49530.44,17380.95,342.71,177.58
497,RAJASTHAN,Sirohi,30948.5,938.03,0.0,2837.73,34724.26,3062.64,31661.61,31618.65,1387.52,33006.17,1873.15,1618.03,104.25
498,RAJASTHAN,Tonk,31072.29,3525.37,0.0,11588.52,46186.17,4440.55,41745.62,31884.16,7598.61,39482.76,10258.12,2833.47,94.58
499,RAJASTHAN,Udaipur,26718.64,2380.4,0.0,14613.91,43712.96,4371.3,39341.66,37258.03,2616.28,39874.31,3531.98,1960.28,101.35
